Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
412732,The Dharma Bums,Jack Kerouac,"Kerouac, Jack",,"=""""","=""""",0,3.93,Penguin Books,Paperback,244,1986,1958,,2024/12/06,,,read,,,,1,0
70401,On the Road,Jack Kerouac,"Kerouac, Jack",,"=""0140042598""","=""9780140042597""",5,3.61,Penguin Books,Paperback,307,1976,1957,,2024/12/06,,,read,,,,1,0
58314,The Elementary Particles,Michel Houellebecq,"Houellebecq, Michel",Frank Wynne,"=""0375727019""","=""9780375727016""",5,3.80,Vintage,Paperback,272,2001,1998,,2024/12/06,,,read,,,,1,0
88514,Platform,Michel Houellebecq,"Houellebecq, Michel",Frank Wynne,"=""1400030269""","=""9781400030262""",3,3.81,Vintage,Paperback,259,2004,2001,,2024/12/06,,,read,,,,1,0
1178230,Nazi Literature in the Americas,Roberto Bolaño,"Bolaño, Roberto",Chris    Andrews,"=""0811217051""","=""9780811217057""",0,3.91,New Directions,Hardcover,227,2008,1996,,2024/12/06,,,read,,,,1,0
63030,Distant Star,Roberto Bolaño,"Bolaño, Roberto",Chris    Andrews,"=""0811215865""","=""9780811215862""",0,3.92,New Directions,Paperback,150,2004,1996,,2024/12/06,,,read,,,,1,0
537640,Last Evenings on Earth,Roberto Bolaño,"Bolaño, Roberto",Chris    Andrews,"=""0811216888""","=""9780811216883""",5,4.11,New Directions,Paperback,219,2007,1997,,2024/12/06,,,read,,,,1,0
23933,"The Letters, Vol. 1: 1945-1959",William S. Burroughs,"Burroughs, William S.",Oliver  Harris,"=""0140094520""","=""9780140094527""",0,4.18,Penguin Publishing Group,Paperback,472,1994,1993,,2024/12/06,,,read,,,,1,0
23938,Word Virus: The William S. Burroughs Reader,William S. Burroughs,"Burroughs, William S.","James Grauerholz, Ira Silverberg","=""080213694X""","=""9780802136947""",0,4.16,Grove Press,Paperback,576,2000,1998,,2024/12/06,,,read,,,,1,0
63885,The Yage Letters,William S. Burroughs,"Burroughs, William S.",Allen Ginsberg,"=""0872860043""","=""9780872860049""",0,3.65,City Lights Books (San Francisco),Paperback,66,2001,1963,,2024/12/06,,,read,,,,1,0
